"","state","plant_name","cen_tract_id","region_meta","year","status","community_ownership","source","median_age","protesters_mean","letters_use","courts_use","legislation_use","is_anti_wind","longitude","latitude","gop_per","med_inc","white_perc","his_lat_perc","black_perc","pop_den","total_mw","n_turbs","turb_ht"
"55","IL","invenergy: champaign & vermillion counties (104 turbines)",17183010300,"Midwest",2011,"Cancelled",NA,"columbia",41.1,NA,0,0,0,1,-87.875819,40.207239,0.75,54205,0.9598752599,0.01288981289,0.009355509356,21.38411231,217.1,134,NA
"56","IL","pleasant ridge wind energy",17105960900,"Midwest",2015,"Cancelled",NA,"columbia",39.8,NA,1,0,1,1,-88.415694,40.78334,0.7073170732,59792,0.9427771108,0.04441776711,0.002801120448,19.82922231,250,136,NA
"57","IN","prairie breeze wind farm",18159020200,"Midwest",2014,"Cancelled",NA,"columbia",45.4,NA,0,0,1,1,-86.214623,40.389575,0.7476340694,55865,0.9623373027,0.02215452783,0.002492384381,48.41454929,150,94,NA
"58","IN","west fork wind energy project",18041954200,"Midwest",2015,"Cancelled",NA,"columbia",48.1,NA,0,0,1,1,-85.2677,39.7302,0.7364016736,44387,0.9738979118,0.004060324826,0.005510440835,41.6841228,150,52,NA
"59","KS","leon wind",20015020901,"Midwest",2005,"Cancelled",NA,"columbia",40.5,NA,0,0,0,1,-96.778549,37.648546,0.6379310345,67407,0.9290540541,0.02654440154,0.00555019305,29.25798739,NA,68,NA
"60","KS","anderson county wind farm",20003953700,"Midwest",2015,"Cancelled",NA,"columbia",37.7,NA,0,0,0,1,-95.14245,38.213123,0.7959183673,42246,0.963975984,0.009006004003,0.005336891261,6.673723928,200,100,NA
"61","MI","clinton county wind farm",26037010500,"Midwest",2008,"Cancelled",NA,"columbia",35.1,40,0,0,3,1,-84.653003,42.997015,0.6600306279,59095,0.956142817,0.0269890357,0.003092493674,48.78024862,64,40,NA
"62","MI","meade wind farm",26063950600,"Midwest",2015,"Cancelled",NA,"columbia",39.4,222,0,0,1,1,-83.064392,43.876207,0.6162464986,43547,0.9593738353,0.02348117779,0.003727171077,25.11830417,100,58,NA
"63","MT","valley county wind project",30105100100,"West",2005,"Cancelled",NA,"columbia",52.8,NA,0,0,0,1,-106.51661,48.663525,0.8342541436,53542,0.9623265036,0.005287508262,0,0.4633535138,500,337,NA
"64","MT","mission creek wind project",30067000200,"West",2010,"Cancelled",NA,"columbia",48.6,NA,1,0,0,1,-110.393795,45.655841,0.6145662848,44088,0.9611507254,0.00958937792,0.002950577821,3.648155655,NA,11,NA
"65","NH","wild meadows wind power project",33013041500,"Northeast",2014,"Cancelled",NA,"columbia",41.7,205,2,0,1,1,-71.856286,43.601775,0.5514285714,62943,0.9753530878,0.009415674328,0.001661589587,38.62783495,75.9,23,NA
"66","NY","cape vincent wind project",36045060400,"Northeast",2005,"Cancelled",NA,"columbia",43.3,NA,1,1,1,1,-76.415624,43.904073,0.5975744212,52769,0.9475849459,0.0193509066,0.009142160597,84.81250093,285,124,NA
"67","NY","richfield wind",36077590300,"Northeast",2015,"Cancelled",NA,"columbia",46.3,NA,0,1,1,1,-75.047397,42.871042,0.6578483245,41484,0.965967366,0.01095571096,0.003263403263,46.4107315,18.4,6,NA
"68","ND","charlie creek wind farm",38007963100,"Midwest",2016,"Cancelled",NA,"columbia",45.8,NA,0,0,1,1,-103.314347,47.192495,0.8530351438,51923,0.9846743295,0.005108556833,0,0.6815492623,383,114,NA
"69","PA","atlantic wind",42025020105,"Northeast",2016,"Cancelled",NA,"columbia",39.2,NA,0,1,1,1,-75.619142,40.962134,0.6081504702,54669,0.778487395,0.09647058824,0.09025210084,158.258463,NA,40,NA
"70","SD","dakota power community wind project",46083010400,"Midwest",2014,"Cancelled",NA,"columbia",40.6,NA,4,0,2,1,-96.745863,43.129434,0.7013888889,47076,0.9787808642,0.007716049383,0.0003858024691,9.631582937,1000,500,NA
"71","SD","davison county wind project",46035962600,"Midwest",2016,"Cancelled",NA,"columbia",40.4,50,0,0,1,1,-98.155599,43.712477,0.7195121951,56838,0.9674546077,0.009249743063,0,7.742871525,20,10,NA
"72","SD","letcher township wind project",46111962100,"Midwest",2016,"Cancelled",NA,"columbia",44.2,50,1,0,1,1,-98.153851,43.887518,0.7635782748,44732,0.9749469214,0.0118895966,0,4.136509444,20,10,NA
"73","WV","mount storm wind farm",54023969400,"South",2002,"Operating",NA,"columbia",44.4,NA,0,0,0,1,-79.204167,39.224444,0.9003115265,40822,0.981126597,0.005516840883,0.003774680604,12.60891243,264,132,NA
"74","WI","beautiful hill wind farm project",55071010100,"Midwest",2013,"Cancelled",NA,"columbia",44.2,NA,0,0,2,1,-87.591182,44.242242,0.6697038724,61983,0.9718216108,0.01153760817,0.0011093854,64.57181911,21,7,NA
"75","KY","mason county",21161960400,"South",2014,"Cancelled",NA,"columbia",35.1,NA,0,0,1,1,-83.925004,38.699017,0.790960452,45558,0.9451048195,0.006915928247,0.02269288956,49.19269656,150,100,NA
"76","OK","little elk wind project llc",40149965100,"South",2015,"Operating",0,"operational",40.5,NA,0,0,0,0,-98.907222,35.194722,0.8642533937,47057,0.8954285714,0.05514285714,0.004285714286,18.24326777,74,37,361
"77","KS","caney river wind project",20049965100,"Midwest",2011,"Operating",0,"operational",48.8,NA,0,0,0,0,-96.42,37.46,0.8723404255,33455,0.9347675226,0.02741151978,0,4.473316254,200,111,344
"78","PA","chestnut flats wind farm",42013010500,"Northeast",2011,"Operating",0,"operational",46.2,NA,0,0,0,0,-78.476921,40.522846,0.7211428571,55027,0.9798833819,0.005539358601,0.001166180758,117.6094747,38,19,328.1
"79","MD","fair wind",24023000400,"South",2015,"Operating",0,"operational",41.7,NA,0,2,3,0,-79.291143,39.404564,0.7836065574,41892,0.9799220857,0.004195385076,0.0119868145,32.65869919,30,12,328.1
"80","PA","highland north wind farm",42021013100,"Northeast",2012,"Operating",0,"operational",40.4,NA,0,0,0,0,-78.680633,40.319561,0.7261261261,44583,0.9933135215,0.003343239227,0,92.08055457,75,30,328.1
"81","IL","minonk wind farm",17203030200,"Midwest",2012,"Operating",0,"operational",40.1,NA,0,3,2,1,-88.997222,40.888611,0.6146179402,51223,0.9799263968,0.006356641017,0.002341920375,41.25289059,200,100,328.1
"82","PA","sandy ridge wind farm",42013010101,"Northeast",2012,"Operating",0,"operational",42.8,744,1,0,6,1,-78.28735,40.729207,0.8274687855,45579,0.9817923859,0.003783400331,0.0068574131,58.62744862,50,25,328.1
"83","TX","senate wind llc",48237950500,"South",2012,"Operating",0,"operational",41.7,NA,0,1,0,0,-98.365069,33.205801,0.91507431,47634,0.8995401486,0.07888220729,0.004244782455,8.290578061,150,75,328.1
"84","IL","shady oaks wind farm",17103000900,"Midwest",2012,"Operating",0,"operational",42.5,NA,0,0,0,0,-89.059722,41.666944,0.6887755102,57756,0.9381501265,0.04470059039,0.005060444195,21.23012773,109.5,71,328.1
"85","PA","twin ridges wind farm",42111021300,"Northeast",2012,"Operating",0,"operational",45.4,NA,0,0,1,0,-78.874722,39.760556,0.903125,40571,0.9904734411,0.003752886836,0.0008660508083,19.43537252,139.4,68,328.1
"86","IA","anchor wind, llc",19031450200,"Midwest",2012,"Operating",0,"operational",42,NA,NA,NA,NA,0,-91.234167,41.850833,0.5967741935,58724,0.9681221538,0.01526922047,0.002143048486,22.67377165,6,2,328
"87","IL","bishop hill ii wind farm",17073031200,"Midwest",2012,"Operating",0,"operational",45.1,NA,NA,NA,NA,0,-90.174167,41.2325,0.6204081633,53875,0.9704711347,0.01559389516,0.00298606503,20.45041862,81,50,328
"88","KS","buffalo dunes wind project",20081463100,"Midwest",2013,"Operating",0,"operational",34.3,NA,0,0,1,0,-101.076111,37.620833,0.8695652174,45859,0.7133458647,0.2699718045,0.0009398496241,7.369426008,249.8,135,328
"89","WI","cashton greens wind farm",55081950900,"Midwest",2012,"Operating",1,"operational",38.9,NA,NA,NA,NA,0,-90.805,43.733889,0.5311004785,54919,0.9603218139,0.02139330773,0.004571219601,36.34773429,5,2,328
"90","OK","chisholm view wind project",40047001100,"South",2012,"Operating",0,"operational",42.4,NA,0,1,0,1,-97.673611,36.574722,0.8646616541,56250,0.9237786933,0.02354326074,0.00412007063,9.047132674,235.2,140,328
"91","MN","community wind south",27105105100,"Midwest",2012,"Operating",1,"operational",44,NA,NA,NA,NA,0,-95.802778,43.713611,0.6914893617,51385,0.9359640014,0.03807545864,0.004153686397,9.962552943,30,15,328
"92","MI","echo wind park",26063950600,"Midwest",2014,"Operating",0,"operational",41.6,NA,0,0,0,0,-83.161389,43.8825,0.8103448276,43547,0.9593738353,0.02348117779,0.003727171077,25.11830417,112,70,328
"93","IA","elk wind farm",19055950200,"Midwest",2011,"Operating",1,"operational",43.9,NA,0,0,0,0,-91.370833,42.583889,0.6573957016,57026,0.9833228446,0.006293266205,0.0009439899308,22.96914977,42.5,17,328
"94","MD","fourmile ridge",24023000300,"South",2014,"Operating",0,"operational",40,129,1,2,13,1,-79.011111,39.641111,0.7664835165,57805,0.9499474974,0.01715085754,0.02415120756,23.01134052,40,16,328
"95","OK","goodwell wind project llc",40139950700,"South",2015,"Operating",0,"operational",26.8,NA,0,0,0,0,-101.565556,36.541389,0.7071428571,51354,0.6602584305,0.2735581469,0.03340687047,3.717611928,200,100,328
"96","MI","gratiot county wind llc",26057000700,"Midwest",2012,"Operating",0,"operational",40.6,NA,0,0,0,1,-84.462222,43.408056,0.6734348562,43221,0.9434409239,0.04826769322,0.002072845721,46.97930467,110.4,69,328
"97","MI","gratiot wind park",26057000200,"Midwest",2011,"Operating",0,"operational",43.1,NA,NA,NA,NA,0,-84.4975,43.433889,0.717325228,54606,0.939453125,0.04375,0.0025390625,40.26852142,102,64,328
"98","NY","hardscrabble wind power llc",36043011400,"Northeast",2011,"Operating",0,"operational",41.3,24,0,9,0,1,-74.878888,43.112222,0.7559943583,49327,0.9744191004,0.01023235984,0.004476657429,43.0903459,74,37,328
"99","IA","hawkeye wind farm",19065080700,"Midwest",2012,"Operating",0,"operational",44.6,NA,0,0,0,0,-92.062222,42.948889,0.615234375,50323,0.983401084,0.009823848238,0.00135501355,13.12796267,36,15,328
"100","TX","javelina wind energy ii, llc",48479001813,"South",2016,"Operating",0,"operational",29.6,NA,NA,NA,NA,0,-98.91,27.44,0.3701923077,30982,0.03283898305,0.9597457627,0.001059322034,1.860989518,200,100,328
"101","TX","keechi wind",48237950100,"South",2015,"Operating",0,"operational",39.2,NA,0,0,0,0,-98.161111,33.143056,0.8531468531,49583,0.7506070066,0.148456469,0.09122441901,5.112922352,110,55,328
"102","MI","mckinley wind park",26063950700,"Midwest",2012,"Operating",0,"operational",47.7,NA,NA,NA,NA,0,-83.241388,43.871944,0.711790393,38147,0.9653078925,0.02457357618,0.002601908066,45.06738322,14.4,9,328
"103","PA","mehoopany wind energy llc",42131400700,"Northeast",2012,"Operating",0,"operational",42.6,NA,0,3,1,0,-76.049167,41.420556,0.7642487047,46028,0.9817607004,0.008025291829,0.003891050584,59.11615801,140.8,88,328
"104","MI","minden wind park",26151970200,"Midwest",2012,"Operating",0,"operational",42,NA,NA,NA,NA,0,-82.758611,43.67,0.6825396825,43526,0.9711234177,0.01424050633,0,17.01724184,32,20,328
"105","IA","pocahontas prairie wind farm",19151780300,"Midwest",2012,"Operating",0,"operational",47.4,NA,NA,NA,NA,0,-94.658056,42.568056,0.8166259169,46346,0.9460201281,0.0407136322,0.00274473925,7.684417031,80,40,328
"106","MN","prairie rose wind farm",27133570100,"Midwest",2012,"Operating",0,"operational",40.8,NA,0,0,0,0,-96.321567,43.828217,0.7872340426,52955,0.9775100402,0.01325301205,0.001606425703,7.987108044,200,119,328
"107","IA","rippey wind farm",19073080100,"Midwest",2012,"Operating",1,"operational",40.3,NA,NA,NA,NA,0,-94.237778,42.006111,0.5839017735,38125,0.9558037882,0.02088392424,0.00582807188,14.54268899,50,20,328
"108","OK","rocky ridge wind project",40149965000,"South",2012,"Operating",0,"operational",41.5,NA,NA,NA,NA,0,-99.003056,35.135556,0.8642533937,40121,0.8260309278,0.1172680412,0.0008591065292,9.773092426,148.8,93,328
"109","MI","sigel wind park",26063950200,"Midwest",2012,"Operating",0,"operational",49.1,NA,0,0,0,0,-82.783611,43.850833,0.7628458498,40833,0.9570853822,0.02905677246,0.001341081806,16.50443902,64,40,328
"110","KS","smoky hills wind project phase i",20105086100,"Midwest",2008,"Operating",0,"operational",46.4,NA,0,0,2,1,-98.160159,38.879936,0.85,41071,0.9614316569,0.02221536563,0.002468373959,4.505169183,100.8,56,328
"111","TX","snyder wind farm",48415950100,"South",2007,"Operating",0,"operational",37.3,NA,0,0,0,0,-100.738949,32.739294,0.7926829268,40513,0.4528768818,0.4607135492,0.07444833986,13.80333599,63,21,328
"112","UT","tooele army depot",49045130703,"West",2016,"Operating",1,"operational",29.8,NA,NA,NA,NA,0,-112.37059,40.50303,0.6283185841,66019,0.9109618408,0.06302701158,0.002429612691,7.164103448,1.7,1,328
"113","IN","wildcat wind farm i, llc",18095010100,"Midwest",2012,"Operating",0,"operational",42.2,19,0,1,5,1,-85.843056,40.349444,0.7016129032,52193,0.9739413681,0.01530944625,0.002280130293,38.81021929,200,118,328
"114","HI","kawailoa wind",15003010000,"West",2012,"Operating",0,"operational",24.8,NA,0,0,0,1,-158.040833,21.610278,0.3349784084,40441,0.5403614458,0.1506024096,0.08524096386,45.28524865,69,30,326
"115","OH","blue creek wind project",39161020100,"Midwest",2011,"Operating",0,"operational",40.1,NA,1,5,14,1,-84.561824,40.931515,0.8328445748,49421,0.9703686421,0.01329911339,0.004199720019,35.38691409,302,152,323
"116","CT","wind colebrook south",9005293100,"Northeast",2015,"Operating",1,"operational",46.2,NA,0,2,0,1,-73.140779,41.961067,0.5873192436,72000,0.9696969697,0.01144781145,0.002693602694,47.09587016,5.7,2,322
"117","MI","stoney corners wind farm",26113960300,"Midwest",2009,"Operating",1,"operational",39.9,3,0,7,3,1,-85.2983,44.19,0.8260869565,40968,0.9623889233,0.01735895846,0.001653234139,51.57411011,60,29,320
"118","ND","brady ii wind energy center",38041964800,"Midwest",2016,"Operating",0,"operational",47.8,16,1,5,2,1,-102.78821,46.611515,0.7726161369,38023,0.9344750558,0.008935219657,0.004467609829,2.287829871,150,72,315
"119","ND","brady wind energy center",38089963900,"Midwest",2016,"Operating",0,"operational",45,11,0,10,8,1,-102.765089,46.646471,0.8641221374,55134,0.9671707857,0.0110660273,0.003319808189,5.426989602,150,87,315
"120","MN","south fork wind farm",27063480200,"Midwest",2016,"Operating",0,"operational",44.5,NA,1,1,1,0,-95.408333,43.591111,0.7969924812,51667,0.9171391191,0.06367204536,0.007413868295,9.33543428,13.8,6,315
"121","MI","cross winds energy park",26157000200,"Midwest",2014,"Operating",0,"operational",41.3,NA,0,1,0,1,-83.485556,43.610278,0.7026239067,43651,0.9506933744,0.03513097072,0.0006163328197,30.3125474,111,62,314.9
"122","CA","ge 1.7-100 prototype",6029006004,"West",2014,"Operating",0,"operational",51.7,NA,NA,NA,NA,0,-118.369444,35.155278,0.6793650794,42409,0.7713928795,0.1555277951,0.004996876952,3.143266979,1.8,1,314.9
"123","ND","border winds wind farm",38079951600,"Midwest",2015,"Operating",0,"operational",37.3,NA,NA,NA,NA,0,-99.613889,48.964722,0.6079734219,29211,0.5599734924,0.01789264414,0.0006626905235,18.93253205,150,75,312
"124","ME","bull hill wind project",23009965100,"Northeast",2012,"Operating",0,"operational",45.6,NA,1,4,0,1,-68.2425,44.723056,0.625,44615,0.9707218576,0.01009591116,0.001514386673,2.640890472,34.5,19,312
